br	cls	clb	clsb	CLs_exp_b_med	CLs_exp_b_p1	CLs_exp_b_p2	CLs_exp_b_m1	CLs_exp_b_m2	CLb_exp_s_med	CLb_exp_s_p1	CLb_exp_s_p2	CLb_exp_s_m1	CLb_exp_s_m2
2.3e-08	0.498579210836	0.27168	0.135454	0.617592	0.4290375	0.295032967033	0.816464285714	0.952030698388	0.693442	0.308568	0.065168	0.934754	0.994308
2.31e-08	0.497430619371	0.27205	0.135326	0.615024	0.4322	0.292835164835	0.814411904762	0.95171143515	0.695076	0.30924	0.065154	0.934946	0.994266
2.32e-08	0.496701329823	0.270412	0.134314	0.614712	0.431275	0.295648351648	0.813652380952	0.95131644922	0.695434	0.309558	0.064946	0.9352	0.994274
2.33e-08	0.491253762916	0.270402	0.132836	0.61172	0.42635	0.29010989011	0.813885714286	0.950757738552	0.69607	0.311892	0.06591	0.935156	0.994416
2.34e-08	0.490404409323	0.271062	0.13293	0.610416	0.42335	0.284131868132	0.812816666667	0.950524430801	0.696764	0.311844	0.066454	0.935516	0.99441
2.35e-08	0.489124566425	0.270426	0.132272	0.611028	0.4229	0.300483516484	0.810285714286	0.950070094653	0.697796	0.312458	0.065522	0.936148	0.994326
2.36e-08	0.48999638112	0.270802	0.132692	0.607856	0.4233375	0.286593406593	0.808597619048	0.948944487081	0.699138	0.312402	0.065856	0.936918	0.994588
2.37e-08	0.488748642077	0.270634	0.132272	0.607516	0.4261875	0.288703296703	0.808547619048	0.949163468918	0.699808	0.31246	0.065804	0.936876	0.99448
2.38e-08	0.48646375828	0.271124	0.131892	0.605032	0.419475	0.286945054945	0.807428571429	0.949486825275	0.70042	0.313828	0.066058	0.936748	0.994502
2.39e-08	0.486099697192	0.270138	0.131314	0.605632	0.4169875	0.276395604396	0.806847619048	0.947990790483	0.700564	0.313042	0.067358	0.937224	0.994608
2.4e-08	0.486085904416	0.271092	0.131774	0.604392	0.415575	0.276835164835	0.808097619048	0.949261703761	0.70117	0.313682	0.067162	0.936734	0.994566
2.41e-08	0.479776003073	0.270718	0.129884	0.59962	0.41215	0.278153846154	0.805004761905	0.948741877718	0.702976	0.3165	0.068128	0.937776	0.994666
2.42e-08	0.480068888544	0.270582	0.129898	0.600148	0.41265	0.269098901099	0.80295952381	0.947622409823	0.70392	0.31672	0.068356	0.938534	0.994714
2.43e-08	0.47675491361	0.270982	0.129192	0.598876	0.4110625	0.27832967033	0.802016666667	0.94571092351	0.704552	0.31827	0.067954	0.939344	0.994758
2.44e-08	0.475218013605	0.271084	0.128824	0.59526	0.410425	0.276395604396	0.801938095238	0.946856996674	0.704706	0.319202	0.06857	0.939036	0.994604
2.45e-08	0.47426199534	0.271272	0.128654	0.594028	0.40755	0.263120879121	0.80219047619	0.947720644666	0.704326	0.318764	0.06841	0.938758	0.994612
2.46e-08	0.476294998854	0.270618	0.128894	0.596444	0.411375	0.26443956044	0.802214285714	0.947297006907	0.704556	0.318286	0.067974	0.93879	0.99468
2.47e-08	0.472704944108	0.270342	0.127792	0.594256	0.4075875	0.256791208791	0.799419047619	0.94678946022	0.705756	0.319716	0.068478	0.939238	0.994832
2.48e-08	0.470143842306	0.270296	0.127078	0.592592	0.4026625	0.265230769231	0.80035952381	0.946462010744	0.70645	0.320744	0.068444	0.93947	0.99488
2.49e-08	0.466335581564	0.271028	0.12639	0.589596	0.3999	0.260307692308	0.798766666667	0.945688411358	0.707566	0.321858	0.069276	0.939546	0.994742
2.5e-08	0.464652518795	0.270288	0.12559	0.589316	0.396775	0.265846153846	0.797197619048	0.945516500384	0.708084	0.32256	0.069822	0.94035	0.994966
2.51e-08	0.462018190976	0.270024	0.124756	0.5873	0.3971875	0.264967032967	0.797388095238	0.946689178818	0.708808	0.3239	0.069736	0.94036	0.994858
2.52e-08	0.460999065046	0.269532	0.124254	0.586424	0.3956125	0.260131868132	0.796657142857	0.945983115886	0.709334	0.325052	0.070068	0.94056	0.994956
2.53e-08	0.459663304657	0.26968	0.123962	0.583464	0.3965	0.262417582418	0.795092857143	0.944677411103	0.711542	0.32543	0.070028	0.940874	0.995064
2.54e-08	0.459744408946	0.26918	0.123754	0.582536	0.3950125	0.255736263736	0.793230952381	0.943643898695	0.711944	0.325802	0.07096	0.941822	0.995198
